Name,Convention,ISO3
Antarctic,CCAMLR,ABNJ
Antarctic,CCAMLR,ATA
Antarctic,CCAMLR,ATF
Antarctic,CCAMLR,BVT
Antarctic,CCAMLR,HMD
Antarctic,CCAMLR,SGS
Antarctic,CCAMLR,ZAF
Baltic Sea,Helsinki Convention,DEU
Baltic Sea,Helsinki Convention,DNK
Baltic Sea,Helsinki Convention,EST
Baltic Sea,Helsinki Convention,FIN
Baltic Sea,Helsinki Convention,LTU
Baltic Sea,Helsinki Convention,LVA
Baltic Sea,Helsinki Convention,POL
Baltic Sea,Helsinki Convention,RUS
Baltic Sea,Helsinki Convention,SWE
Black Sea,Bucharest Convention,BGR
Black Sea,Bucharest Convention,GEO
Black Sea,Bucharest Convention,ROU
Black Sea,Bucharest Convention,RUS
Black Sea,Bucharest Convention,TUR
Black Sea,Bucharest Convention,UKR
Caspian Sea,Tehran Convention,AZE
Caspian Sea,Tehran Convention,IRN
Caspian Sea,Tehran Convention,KAZ
Caspian Sea,Tehran Convention,RUS
Caspian Sea,Tehran Convention,TKM
East Asian Seas,No Convention,CHN
East Asian Seas,No Convention,CHN/PHL/VNM/TWN/MYS
East Asian Seas,No Convention,CHN/TWN/VNM
East Asian Seas,No Convention,HKG
East Asian Seas,No Convention,IDN
East Asian Seas,No Convention,KHM
East Asian Seas,No Convention,MMR
East Asian Seas,No Convention,MYS
East Asian Seas,No Convention,PHL
East Asian Seas,No Convention,SGP
East Asian Seas,No Convention,THA
East Asian Seas,No Convention,TWN
East Asian Seas,No Convention,VNM
Eastern Africa,Nairobi Convention,ATF
Eastern Africa,Nairobi Convention,COM
Eastern Africa,Nairobi Convention,KEN
Eastern Africa,Nairobi Convention,KEN/SOM
Eastern Africa,Nairobi Convention,MDG
Eastern Africa,Nairobi Convention,MOZ
Eastern Africa,Nairobi Convention,MUS
Eastern Africa,Nairobi Convention,MYT
Eastern Africa,Nairobi Convention,REU
Eastern Africa,Nairobi Convention,SOM
Eastern Africa,Nairobi Convention,SYC
Eastern Africa,Nairobi Convention,TZA
Eastern Africa,Nairobi Convention,ZAF
Mediterranean,Barcelona Convention,ALB
Mediterranean,Barcelona Convention,CYP
Mediterranean,Barcelona Convention,DZA
Mediterranean,Barcelona Convention,EGY
Mediterranean,Barcelona Convention,ESP
Mediterranean,Barcelona Convention,FRA
Mediterranean,Barcelona Convention,GRC
Mediterranean,Barcelona Convention,HRV
Mediterranean,Barcelona Convention,ISR
Mediterranean,Barcelona Convention,ITA
Mediterranean,Barcelona Convention,LBN
Mediterranean,Barcelona Convention,LBY
Mediterranean,Barcelona Convention,MAR
Mediterranean,Barcelona Convention,MCO
Mediterranean,Barcelona Convention,MLT
Mediterranean,Barcelona Convention,MNE
Mediterranean,Barcelona Convention,SVN
Mediterranean,Barcelona Convention,SYR
Mediterranean,Barcelona Convention,TUN
Mediterranean,Barcelona Convention,TUR
North-East Atlantic, ,ABNJ
North-East Atlantic, ,BEL
North-East Atlantic, ,DEU
North-East Atlantic, ,DNK
North-East Atlantic, ,ESP
North-East Atlantic, ,FRA
North-East Atlantic, ,FRO
North-East Atlantic, ,GBR
North-East Atlantic, ,GGY
North-East Atlantic, ,GRL
North-East Atlantic, ,IRL
North-East Atlantic, ,ISL
North-East Atlantic, ,JEY
North-East Atlantic, ,NLD
North-East Atlantic, ,NOR
North-East Atlantic, ,PRT
North-East Atlantic, ,RUS
North-East Atlantic, ,SJM
North-East Atlantic, ,SWE
North-East Pacific,Antigua Convention,COL
North-East Pacific,Antigua Convention,CRI
North-East Pacific,Antigua Convention,GTM
North-East Pacific,Antigua Convention,HND
North-East Pacific,Antigua Convention,MEX
North-East Pacific,Antigua Convention,NIC
North-East Pacific,Antigua Convention,PAN
North-East Pacific,Antigua Convention,SLV
North-West Pacific,No Convention,CHN
North-West Pacific,No Convention,CHN/TWN/JPN
North-West Pacific,No Convention,JPN
North-West Pacific,No Convention,JPN/KOR
North-West Pacific,No Convention,KOR
North-West Pacific,No Convention,PRK
North-West Pacific,No Convention,RUS
North-West Pacific,No Convention,RUS/JPN
Pacific,Noumea Convention,ABNJ
Pacific,Noumea Convention,ASM
Pacific,Noumea Convention,AUS
Pacific,Noumea Convention,AUS/PNG
Pacific,Noumea Convention,COK
Pacific,Noumea Convention,FJI
Pacific,Noumea Convention,FSM
Pacific,Noumea Convention,GUM
Pacific,Noumea Convention,KIR
Pacific,Noumea Convention,MHL
Pacific,Noumea Convention,MNP
Pacific,Noumea Convention,NCL
Pacific,Noumea Convention,NFK
Pacific,Noumea Convention,NIU
Pacific,Noumea Convention,NRU
Pacific,Noumea Convention,NZL
Pacific,Noumea Convention,PCN
Pacific,Noumea Convention,PLW
Pacific,Noumea Convention,PNG
Pacific,Noumea Convention,PYF
Pacific,Noumea Convention,SLB
Pacific,Noumea Convention,TKL
Pacific,Noumea Convention,TON
Pacific,Noumea Convention,TUV
Pacific,Noumea Convention,UMI
Pacific,Noumea Convention,VUT
Pacific,Noumea Convention,WLF
Pacific,Noumea Convention,WSM
Red Sea and Gulf of Aden,Jeddah Convention,DJI
Red Sea and Gulf of Aden,Jeddah Convention,EGY
Red Sea and Gulf of Aden,Jeddah Convention,EGY/SDN
Red Sea and Gulf of Aden,Jeddah Convention,JOR
Red Sea and Gulf of Aden,Jeddah Convention,SAU
Red Sea and Gulf of Aden,Jeddah Convention,SDN
Red Sea and Gulf of Aden,Jeddah Convention,SOM
Red Sea and Gulf of Aden,Jeddah Convention,YEM
ROPME Area, ,ARE
ROPME Area, ,BHR
ROPME Area, ,IRN
ROPME Area, ,IRQ
ROPME Area, ,KWT
ROPME Area, ,OMN
ROPME Area, ,QAT
ROPME Area, ,SAU
South-East Pacific,Lima Convention,ARG
South-East Pacific,Lima Convention,CHL
South-East Pacific,Lima Convention,COL
South-East Pacific,Lima Convention,ECU
South-East Pacific,Lima Convention,PAN
South-East Pacific,Lima Convention,PER
South Asian Seas,No Convention,BGD
South Asian Seas,No Convention,IND
South Asian Seas,No Convention,LKA
South Asian Seas,No Convention,MDV
South Asian Seas,No Convention,PAK
West and Central Africa - WACAF,Abidjan Convention,AGO
West and Central Africa - WACAF,Abidjan Convention,BEN
West and Central Africa - WACAF,Abidjan Convention,CIV
West and Central Africa - WACAF,Abidjan Convention,CMR
West and Central Africa - WACAF,Abidjan Convention,COD
West and Central Africa - WACAF,Abidjan Convention,COG
West and Central Africa - WACAF,Abidjan Convention,CPV
West and Central Africa - WACAF,Abidjan Convention,GAB
West and Central Africa - WACAF,Abidjan Convention,GHA
West and Central Africa - WACAF,Abidjan Convention,GIN
West and Central Africa - WACAF,Abidjan Convention,GMB
West and Central Africa - WACAF,Abidjan Convention,GNB
West and Central Africa - WACAF,Abidjan Convention,GNQ
West and Central Africa - WACAF,Abidjan Convention,LBR
West and Central Africa - WACAF,Abidjan Convention,MRT
West and Central Africa - WACAF,Abidjan Convention,NAM
West and Central Africa - WACAF,Abidjan Convention,NGA
West and Central Africa - WACAF,Abidjan Convention,NGA/STP
West and Central Africa - WACAF,Abidjan Convention,SEN
West and Central Africa - WACAF,Abidjan Convention,SLE
West and Central Africa - WACAF,Abidjan Convention,STP
West and Central Africa - WACAF,Abidjan Convention,TGO
West and Central Africa - WACAF,Abidjan Convention,ZAF
Wider Caribbean,Cartagena Convention,ABW
Wider Caribbean,Cartagena Convention,AIA
Wider Caribbean,Cartagena Convention,ATG
Wider Caribbean,Cartagena Convention,BES
Wider Caribbean,Cartagena Convention,BHS
Wider Caribbean,Cartagena Convention,BLM
Wider Caribbean,Cartagena Convention,BLZ
Wider Caribbean,Cartagena Convention,BRB
Wider Caribbean,Cartagena Convention,COL
Wider Caribbean,Cartagena Convention,COL/JAM
Wider Caribbean,Cartagena Convention,CRI
Wider Caribbean,Cartagena Convention,CUB
Wider Caribbean,Cartagena Convention,CUW
Wider Caribbean,Cartagena Convention,CYM
Wider Caribbean,Cartagena Convention,DMA
Wider Caribbean,Cartagena Convention,DOM
Wider Caribbean,Cartagena Convention,GLP
Wider Caribbean,Cartagena Convention,GRD
Wider Caribbean,Cartagena Convention,GTM
Wider Caribbean,Cartagena Convention,GUF
Wider Caribbean,Cartagena Convention,GUY
Wider Caribbean,Cartagena Convention,HND
Wider Caribbean,Cartagena Convention,HTI
Wider Caribbean,Cartagena Convention,JAM
Wider Caribbean,Cartagena Convention,KNA
Wider Caribbean,Cartagena Convention,LCA
Wider Caribbean,Cartagena Convention,MAF
Wider Caribbean,Cartagena Convention,MEX
Wider Caribbean,Cartagena Convention,MSR
Wider Caribbean,Cartagena Convention,MTQ
Wider Caribbean,Cartagena Convention,NIC
Wider Caribbean,Cartagena Convention,PAN
Wider Caribbean,Cartagena Convention,PRI
Wider Caribbean,Cartagena Convention,SUR
Wider Caribbean,Cartagena Convention,SXM
Wider Caribbean,Cartagena Convention,TCA
Wider Caribbean,Cartagena Convention,TTO
Wider Caribbean,Cartagena Convention,TTO/VEN/GUY
Wider Caribbean,Cartagena Convention,USA
Wider Caribbean,Cartagena Convention,VCT
Wider Caribbean,Cartagena Convention,VEN
Wider Caribbean,Cartagena Convention,VGB
Wider Caribbean,Cartagena Convention,VIR
