country,iso3,species,species_id,source_id,,,,,,,,
Montserrat,MSR,Thalassia testudinum,45,1,,,,,,,,
Morocco,MAR,Cymodocea nodosa,4,1,,,,,,,,
Morocco,MAR,Posidonia oceanica,38,1,,,,,,,,
Morocco,MAR,Zostera subg. Zostera marina,54,1,,,,,,,,
Morocco,MAR,Zostera noltei,57,1,,,,,,,,
Mozambique,MOZ,Cymodocea rotundata,5,1,,,,,,,,
Mozambique,MOZ,Cymodocea serrulata,6,1,,,,,,,,
Mozambique,MOZ,Enhalus acoroides,7,1,,,,,,,,
Mozambique,MOZ,Halodule uninervis,12,1,,,,,,,,
Mozambique,MOZ,Halodule wrightii,13,1,,,,,,,,
Mozambique,MOZ,Halophila minor,22,1,,,,,,,,
Mozambique,MOZ,Halophila ovalis,23,1,,,,,,,,
Mozambique,MOZ,Halophila stipulacea,26,1,,,,,,,,
Mozambique,MOZ,Syringodium isoetifolium,43,1,,,,,,,,
Mozambique,MOZ,Thalassia hemprichii,44,1,,,,,,,,
Mozambique,MOZ,Thalassodendron ciliatum,46,1,,,,,,,,
Mozambique,MOZ,Zostera (Zosterella) capensis,50,1,,,,,,,,
Myanmar,MMR,Enhalus acoroides,7,1,,,,,,,,
Myanmar,MMR,Halodule uninervis,12,1,,,,,,,,
Myanmar,MMR,Halophila beccarii,16,1,,,,,,,,
Myanmar,MMR,Halophila decipiens,18,1,,,,,,,,
Myanmar,MMR,Halophila ovalis,23,1,,,,,,,,
Netherlands,NLD,Zostera subg. Zostera marina,54,1,,,,,,,,
Netherlands,NLD,Zostera noltei,57,1,,,,,,,,
Netherlands (Antillse),NLD,Halodule wrightii,13,1,,,,,,,,
Netherlands (Antillse),NLD,Halophila baillonis,15,1,,,,,,,,
Netherlands (Antillse),NLD,Halophila decipiens,18,1,,,,,,,,
Netherlands (Antillse),NLD,Syringodium filiforme,42,1,,,,,,,,
Netherlands (Antillse),NLD,Thalassia testudinum,45,1,,,,,,,,
New Caledonia,NCL,Cymodocea rotundata,5,1,,,,,,,,
New Caledonia,NCL,Cymodocea serrulata,6,1,,,,,,,,
New Caledonia,NCL,Enhalus acoroides,7,1,,,,,,,,
New Caledonia,NCL,Halodule pinifolia,11,1,,,,,,,,
New Caledonia,NCL,Halodule uninervis,12,1,,,,,,,,
New Caledonia,NCL,Halophila capricorni,17,1,,,,,,,,
New Caledonia,NCL,Halophila decipiens,18,1,,,,,,,,
New Caledonia,NCL,Halophila minor,22,1,,,,,,,,
New Caledonia,NCL,Halophila ovalis,23,1,,,,,,,,
New Caledonia,NCL,Syringodium isoetifolium,43,1,,,,,,,,
New Caledonia,NCL,Thalassia hemprichii,44,1,,,,,,,,
New Zealand,NZL,Zostera muelleri subsp. capricorni,51,1,,,,,,,,
New Zealand,NZL,Zostera novazelandica,58,1,,,,,,,,
New Zealand,NZL,Ruppia megacarpa,63,90,,,,,,,,
New Zealand,NZL,Ruppia tuberosa,64,90,,,,,,,,
Nicaragua,NIC,Halodule wrightii,13,1,,,,,,,,
Nicaragua,NIC,Syringodium filiforme,42,1,,,,,,,,
Nicaragua,NIC,Thalassia testudinum,45,1,,,,,,,,
Nigeria,NGA,Halodule wrightii,13,1,,,,,,,,
Northern Mariana Islands,MNP,Enhalus acoroides,7,1,,,,,,,,
Northern Mariana Islands,MNP,Halodule uninervis,12,1,,,,,,,,
Northern Mariana Islands,MNP,Halophila minor,22,1,,,,,,,,
Northern Mariana Islands,MNP,Halophila ovalis,23,1,,,,,,,,
Norway,NOR,Zostera subg. Zostera marina,54,1,,,,,,,,
Norway,NOR,Zostera noltei,57,1,,,,,,,,
Norway,NOR,Ruppia cirrhosa,62,90,,,,,,,,
Oman,OMN,Halodule uninervis,12,1,,,,,,,,
Oman,OMN,Halophila ovalis,23,1,,,,,,,,
Oman,OMN,Syringodium isoetifolium,43,1,,,,,,,,
Oman,OMN,Thalassodendron ciliatum,46,1,,,,,,,,
Palau,PLW,Cymodocea rotundata,5,1,,,,,,,,
Palau,PLW,Cymodocea serrulata,6,1,,,,,,,,
Palau,PLW,Enhalus acoroides,7,1,,,,,,,,
Palau,PLW,Halodule pinifolia,11,1,,,,,,,,
Palau,PLW,Halodule uninervis,12,1,,,,,,,,
Palau,PLW,Halophila minor,22,1,,,,,,,,
Palau,PLW,Halophila ovalis,23,1,,,,,,,,
Palau,PLW,Syringodium isoetifolium,43,1,,,,,,,,
Palau,PLW,Thalassia hemprichii,44,1,,,,,,,,
Palau,PLW,Thalassodendron ciliatum,46,1,,,,,,,,
Panama,PAN,Halodule wrightii,13,1,,,,,,,,
Panama,PAN,Halophila baillonis,15,1,,,,,,,,
Panama,PAN,Halophila decipiens,18,1,,,,,,,,
Panama,PAN,Syringodium filiforme,42,1,,,,,,,,
Panama,PAN,Thalassia testudinum,45,1,,,,,,,,
Papua New Guinea,PNG,Cymodocea rotundata,5,1,,,,,,,,
Papua New Guinea,PNG,Cymodocea serrulata,6,1,,,,,,,,
Papua New Guinea,PNG,Enhalus acoroides,7,1,,,,,,,,
Papua New Guinea,PNG,Halodule pinifolia,11,1,,,,,,,,
Papua New Guinea,PNG,Halodule uninervis,12,1,,,,,,,,
Papua New Guinea,PNG,Halophila decipiens,18,1,,,,,,,,
Papua New Guinea,PNG,Halophila minor,22,1,,,,,,,,
Papua New Guinea,PNG,Halophila ovalis,23,1,,,,,,,,
Papua New Guinea,PNG,Halophila ovata,24,1,,,,,,,,
Papua New Guinea,PNG,Syringodium isoetifolium,43,1,,,,,,,,
Papua New Guinea,PNG,Thalassia hemprichii,44,1,,,,,,,,
Papua New Guinea,PNG,Thalassodendron ciliatum,46,1,,,,,,,,
Peru,PER,Ruppia maritima,60,1,,,,,,,,
Peru,PER,Ruppia filifolia,61,90,,,,,,,,
Philippines,PHL,Cymodocea rotundata,5,1,,,,,,,,
Philippines,PHL,Cymodocea serrulata,6,1,,,,,,,,
Philippines,PHL,Enhalus acoroides,7,1,,,,,,,,
Philippines,PHL,Halodule pinifolia,11,1,,,,,,,,
Philippines,PHL,Halodule uninervis,12,1,,,,,,,,
Philippines,PHL,Halophila beccarii,16,1,,,,,,,,
Philippines,PHL,Halophila decipiens,18,1,,,,,,,,
Philippines,PHL,Halophila minor,22,1,,,,,,,,
Philippines,PHL,Halophila ovalis,23,1,,,,,,,,
Philippines,PHL,Halophila ovata,24,1,,,,,,,,
Philippines,PHL,Halophila spinulosa,25,1,,,,,,,,
Philippines,PHL,Syringodium isoetifolium,43,1,,,,,,,,
Philippines,PHL,Thalassia hemprichii,44,1,,,,,,,,
Philippines,PHL,Thalassodendron ciliatum,46,1,,,,,,,,
Poland,POL,Zostera subg. Zostera marina,54,1,,,,,,,,
Portugal,PRT,Cymodocea nodosa,4,1,,,,,,,,
Portugal,PRT,Zostera subg. Zostera marina,54,1,,,,,,,,
Portugal,PRT,Zostera noltei,57,1,,,,,,,,
Portugal,PRT,Ruppia cirrhosa,62,90,,,,,,,,
Puerto Rico,PRI,Halodule wrightii,13,1,,,,,,,,
Puerto Rico,PRI,Halophila baillonis,15,1,,, ,,,,,
Puerto Rico,PRI,Halophila decipiens,18,1,,,,,,,,
Puerto Rico,PRI,Halophila engelmannii,19,1,,,,,,,,
Puerto Rico,PRI,Syringodium filiforme,42,1,,,,,,,,
Puerto Rico,PRI,Thalassia testudinum,45,1,,,,,,,,
Qatar,QAT,Halodule uninervis,12,1,,,,,,,,
Qatar,QAT,Halophila ovalis,23,1,,,,,,,,
Qatar,QAT,Halophila stipulacea,26,1,,,,,,,,
Reunion,REU,Halophila stipulacea,26,1,,,,,,,,
Reunion,REU,Syringodium isoetifolium,43,1,,,,,,,,
Romania,ROU,Zostera subg. Zostera marina,54,1,,,,,,,,
Romania,ROU,Zostera noltei,57,1,,,,,,,,
Russian Federation,RUS,Phyllospadix iwatensis,28,1,,,,,,,,
Russian Federation,RUS,Zostera asiatica,48,1,,,,,,,,
Russian Federation,RUS,Zostera caulescens,52,1,,,,,,,,
Russian Federation,RUS,Zostera japonica,53,1,,,,,,,,
Russian Federation,RUS,Zostera subg. Zostera marina,54,1,,,,,,,,
Russian Federation,RUS,Zostera noltei,57,1,,,,,,,,
Saint Barthélemy,BLM,Halodule beaudettei,8,1,,,,,,,,
Saint Barthélemy,BLM,Halodule wrightii,13,1,,,,,,,,
Saint Barthélemy,BLM,Halophila baillonis,15,1,,,,,,,,
Saint Barthélemy,BLM,Halophila decipiens,18,1,,,,,,,,
Saint Barthélemy,BLM,Syringodium filiforme,42,1,,,,,,,,
Saint Barthélemy,BLM,Thalassia testudinum,45,1,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha  ",SHN,Halophila ovalis,23,1,,,,,,,,
"Saint Helena, Ascension and Tristan da Cunha  ",SHN,Zostera muelleri subsp. capricorni,51,1,,,,,,,,
Saint Kitts and Nevis,KNA,Syringodium filiforme,42,1,,,,,,,,
Saint Kitts and Nevis,KNA,Thalassia testudinum,45,1,,,,,,,,
Saint Lucia,LCA,Halophila decipiens,18,1,,,,,,,,
Saint Lucia,LCA,Halophila stipulacea,26,1,,,,,,,,
Saint Martin,MAF,Halodule beaudettei,8,1,,,,,,,,
Saint Martin,MAF,Halodule wrightii,13,1,,,,,,,,
Saint Martin,MAF,Halophila baillonis,15,1,,,,,,,,
Saint Martin,MAF,Halophila decipiens,18,1,,,,,,,,
Saint Martin,MAF,Syringodium filiforme,42,1,,,,,,,,
Saint Martin,MAF,Thalassia testudinum,45,1,,,,,,,,
Saint Martin,MAF,Thalassodendron ciliatum,46,1,,,,,,,,
Saint Martin,MAF,Ruppia maritima,60,1,,,,,,,,
Saint Vincent and the Grenadines,VCT,Halophila decipiens,18,1,,,,,,,,
Samoa,WSM,Cymodocea serrulata,6,1,,,,,,,,
Samoa,WSM,Halophila minor,22,1,,,,,, ,,
Samoa,WSM,Halophila ovalis,23,1,,,,,,,,
Samoa,WSM,Halophila ovata,24,1,,,,,,,,
Samoa,WSM,Syringodium isoetifolium,43,1,,,,,,,,
Sao Tome And Principe,STP,Halodule wrightii,13,1,, ,,,,,,
Saudi Arabia,SAU,Cymodocea rotundata,5,1,,,,,,,,
Saudi Arabia,SAU,Cymodocea serrulata,6,1,,,,,,,,
Saudi Arabia,SAU,Enhalus acoroides,7,1,,,,,,,,
Saudi Arabia,SAU,Halodule uninervis,12,1,,,,,,,,
Saudi Arabia,SAU,Halophila decipiens,18,1,,,,,,,,
Saudi Arabia,SAU,Halophila ovalis,23,1,,,,,,,,
Saudi Arabia,SAU,Halophila stipulacea,26,1,,,,,,,,
Saudi Arabia,SAU,Syringodium isoetifolium,43,1,,,,,,,,
Saudi Arabia,SAU,Thalassia hemprichii,44,1,,,,,,,,
Saudi Arabia,SAU,Thalassodendron ciliatum,46,1,,,,,,,,
Senegal,SEN,Cymodocea nodosa,4,1,,,,,,,,
Senegal,SEN,Halodule wrightii,13,1,,,,,,,,
Seychelles,SYC,Cymodocea rotundata,5,1,,,,,,,,
Seychelles,SYC,Cymodocea serrulata,6,1,,,,,,,,
Seychelles,SYC,Enhalus acoroides,7,1,,,,,,,,
Seychelles,SYC,Halodule uninervis,12,1,,,,,,,,
Seychelles,SYC,Halophila decipiens,18,1,,,,,,,,
Seychelles,SYC,Halophila ovalis,23,1,,,,,,,,
Seychelles,SYC,Syringodium isoetifolium,43,1,,,,,,,,
Seychelles,SYC,Thalassia hemprichii,44,1,,,,,,,,
Seychelles,SYC,Thalassodendron ciliatum,46,1,,,,,,,,
Sierra Leone,SLE,Cymodocea nodosa,4,1,,,,,,,,
Singapore,SGP,Cymodocea rotundata,5,1,,,,,,,,
Singapore,SGP,Cymodocea serrulata,6,1,,,,,,,,
Singapore,SGP,Enhalus acoroides,7,1,,,,,,,,
Singapore,SGP,Halodule pinifolia,11,1,,,,,,,,
Singapore,SGP,Halodule uninervis,12,1,,,,,,,,
Singapore,SGP,Halophila beccarii,16,1,,,,,,,,
Singapore,SGP,Halophila minor,22,1,,,,,,,,
Singapore,SGP,Halophila ovalis,23,1,,,,,,,,
Singapore,SGP,Halophila spinulosa,25,1,,,,,,,,
Singapore,SGP,Syringodium isoetifolium,43,1,,,,,,,,
Singapore,SGP,Thalassia hemprichii,44,1,,,,,,,,
Sint Maarten,SXM,Halophila stipulacea,26,1,,,,,,,,
Sint Maarten,SXM,Thalassia testudinum,45,1,,,,,,,,
Slovenia,SVN,Posidonia oceanica,38,1,,,,,,,,
Solomon Islands,SLB,Syringodium isoetifolium,43,1,,,,,,,,
Solomon Islands,SLB,Thalassia hemprichii,44,1,,,,,,,,
Solomon Islands,SLB,Thalassodendron ciliatum,46,1,,,,,,,,
Somalia,SOM,Halodule uninervis,12,1,,,,,,,,
Somalia,SOM,Halophila minor,22,1,,,, ,,,,
Somalia,SOM,Halophila ovalis,23,1,,,,,,,,
Somalia,SOM,Thalassia hemprichii,44,1,,,,,,,,
Somalia,SOM,Thalassodendron ciliatum,46,1,,,,,,,,
South Africa,ZAF,Halophila ovalis,23,1,,,,,,,,
South Africa,ZAF,Thalassodendron ciliatum,46,1,,,,,,,,
South Africa,ZAF,Zostera (Zosterella) capensis,50,1,,,,,,,,
South Africa,ZAF,Ruppia cirrhosa,62,90,,,,,,,,
Spain,ESP,Cymodocea nodosa,4,1,,,,,,,,
Spain,ESP,Halophila decipiens,18,1,,,,,,,,
Spain,ESP,Posidonia oceanica,38,1,,,,,,,,
Spain,ESP,Zostera subg. Zostera marina,54,1,,,,,,,,
Spain,ESP,Zostera noltei,57,1,,,,,,,,
Spain,ESP,Ruppia cirrhosa,62,90,,,,,,,,
Sri Lanka,LKA,Cymodocea serrulata,6,1,,,,,,,,
Sri Lanka,LKA,Enhalus acoroides,7,1,,,,,,,,
Sri Lanka,LKA,Halodule pinifolia,11,1,,,,,,,,
Sri Lanka,LKA,Halodule uninervis,12,1,,,,,,,,
Sri Lanka,LKA,Halophila beccarii,16,1,,,,,,,,
Sri Lanka,LKA,Halophila decipiens,18,1,,,,,,,,
Sri Lanka,LKA,Halophila ovalis,23,1,,,,,,,,
Sri Lanka,LKA,Syringodium isoetifolium,43,1,,,,,,,,
Sudan,SDN,Cymodocea serrulata,6,1,,,,,,,,
Sudan,SDN,Halodule uninervis,12,1,,,,,,,,
Sudan,SDN,Halophila ovalis,23,1,,,,,,,,
Sudan,SDN,Halophila stipulacea,26,1,,, ,,,,,
Sudan,SDN,Syringodium isoetifolium,43,1,,,, ,,,,
Sudan,SDN,Thalassia hemprichii,44,1,,,,,,,,
Sudan,SDN,Thalassodendron ciliatum,46,1,,,,,,,,
Sweden,SWE,Zostera subg. Zostera marina,54,1,,,,,,,,
Sweden,SWE,Zostera noltei,57,1,,,,,,,,
Syrian Arab Republic,SYR,Cymodocea nodosa,4,1,,,,,,,,
Syrian Arab Republic,SYR,Halophila stipulacea,26,1,,,,,,,,
Syrian Arab Republic,SYR,Posidonia oceanica,38,1,,,,,,,,
Syrian Arab Republic,SYR,Zostera noltei,57,1,,,,,,,,
"Taiwan, Province of China ",TWN,Cymodocea rotundata,5,1,,,,,,,,
"Taiwan, Province of China ",TWN,Cymodocea serrulata,6,1,,,,,,,,
"Taiwan, Province of China ",TWN,Halodule uninervis,12,1,,,,,,,,
"Taiwan, Province of China ",TWN,Halophila ovalis,23,1,,,,,,,,
"Taiwan, Province of China ",TWN,Syringodium isoetifolium,43,1,,,,,,,,
"Taiwan, Province of China ",TWN,Thalassia hemprichii,44,1,,,,,,,,
"Taiwan, Province of China ",TWN,Thalassodendron ciliatum,46,1,,,,,,,,
"Tanzania, United Republic of",TZA,Cymodocea rotundata,5,1,,,,,,,,
"Tanzania, United Republic of",TZA,Cymodocea serrulata,6,1,,,,,,,,
"Tanzania, United Republic of",TZA,Enhalus acoroides,7,1,,,,,,,,
"Tanzania, United Republic of",TZA,Halodule uninervis,12,1,,,,,,,,
"Tanzania, United Republic of",TZA,Halodule wrightii,13,1,,,,,,,,
"Tanzania, United Republic of",TZA,Halophila minor,22,1,,,,,,,,
"Tanzania, United Republic of",TZA,Halophila ovalis,23,1,,,,,,,,
"Tanzania, United Republic of",TZA,Halophila stipulacea,26,1,,,,,,,,
"Tanzania, United Republic of",TZA,Syringodium isoetifolium,43,1,,,,,,,,
"Tanzania, United Republic of",TZA,Thalassia hemprichii,44,1,,,,,,,,
"Tanzania, United Republic of",TZA,Thalassodendron ciliatum,46,1,,,,,,,,
"Tanzania, United Republic of",TZA,Zostera (Zosterella) capensis,50,1,,,,,,,,
Thailand,THA,Cymodocea rotundata,5,1, ,,,,,,,
Thailand,THA,Cymodocea serrulata,6,1,,,,,,,,
Thailand,THA,Enhalus acoroides,7,1,,,,,,,,
Thailand,THA,Halodule pinifolia,11,1,,,,,,,,
Thailand,THA,Halodule uninervis,12,1,,,,, ,,,
Thailand,THA,Halophila beccarii,16,1,,,,,,,,
Thailand,THA,Halophila decipiens,18,1,,,,,,,,
Thailand,THA,Halophila minor,22,1,,,,,,,,
Thailand,THA,Halophila ovalis,23,1,,,,,,,,
Thailand,THA,Syringodium isoetifolium,43,1,,,,,,,,
Thailand,THA,Thalassia hemprichii,44,1,,,,,,,,
Timor-Leste,TLS,Cymodocea serrulata,6,1,,,,,,,,
Timor-Leste,TLS,Enhalus acoroides,7,1,,,,,,,,
Timor-Leste,TLS,Halophila ovalis,23,1,,,,,,,,
Timor-Leste,TLS,Halophila ovata,24,1,,,,,,,,
Timor-Leste,TLS,Syringodium isoetifolium,43,1,,,,,,,,
Timor-Leste,TLS,Thalassodendron ciliatum,46,1,,,,,,,,
Togo,TGO,Halodule wrightii,13,1,,,,,,,,
Tonga,TON,Halodule uninervis,12,1,,,,,,,,
Tonga,TON,Halophila ovalis,23,1,,,,,,,,
Tonga,TON,Syringodium isoetifolium,43,1,,,,,,,,
Trinidad And Tobago,TTO,Halodule wrightii,13,1,,,,,,,,
Trinidad And Tobago,TTO,Halophila decipiens,18,1,,,,,,,,
Trinidad And Tobago,TTO,Syringodium filiforme,42,1,,,,,,,,
Trinidad And Tobago,TTO,Thalassia testudinum,45,1,,,,,,,,
Tunisia,TUN,Cymodocea nodosa,4,1,,,,,,,,
Tunisia,TUN,Posidonia oceanica,38,1,,,,,,,,
Tunisia,TUN,Zostera subg. Zostera marina,54,1,,,,,,,,
Tunisia,TUN,Zostera noltei,57,1,,,,,,,,
Tunisia,TUN,Ruppia cirrhosa,62,90,,,,,,,,
Turkey,TUR,Cymodocea nodosa,4,1,,,,,,,,
Turkey,TUR,Halophila stipulacea,26,1,,,,,,,,
Turkey,TUR,Posidonia oceanica,38,1,,,,,,,,
Turkey,TUR,Zostera subg. Zostera marina,54,1,,,,,,,,
Turkey,TUR,Zostera noltei,57,1,,,,,,,,
Turkmenistan,TKM,Zostera noltei,57,1,,,,,,,,
Turks and Caicos Islands,TCA,Halodule wrightii,13,1,,,,,,,,
Turks and Caicos Islands,TCA,Syringodium filiforme,42,1,,,,,,,,
Tuvalu,TUV,Halophila ovalis,23,1,,,,,,,,
Ukraine,UKR,Zostera subg. Zostera marina,54,1,,,,,,,,
Ukraine,UKR,Zostera noltei,57,1,,,,,,,,
United Arab Emirates,ARE,Halodule uninervis,12,1,,,,,,,,
United Arab Emirates,ARE,Halophila ovalis,23,1,,,,,,,,
United Arab Emirates,ARE,Halophila stipulacea,26,1,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,Zostera subg. Zostera marina,54,1,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,Zostera noltei,57,1,,,,,,,,
United States Minor Outlying Islands,UMI,Cymodocea rotundata,5,1,,,,,,,,
United States Minor Outlying Islands,UMI,Cymodocea serrulata,6,1,,,,,,,,
United States Minor Outlying Islands,UMI,Enhalus acoroides,7,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halodule pinifolia,11,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halodule uninervis,12,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halophila decipiens,18,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halophila hawaiiana,20,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halophila minor,22,1,,,,,,,,
United States Minor Outlying Islands,UMI,Halophila ovalis,23,1,,,,,,,,
United States Minor Outlying Islands,UMI,Syringodium isoetifolium,43,1,,,,,,,,
United States Minor Outlying Islands,UMI,Thalassia hemprichii,44,1,,,,,,,,
United States of America,USA,Cymodocea rotundata,5,1,,,,,,,,
United States of America,USA,Cymodocea serrulata,6,1,,,,,,,,
United States of America,USA,Enhalus acoroides,7,1,,,,,,,,
United States of America,USA,Halodule pinifolia,11,1,,,,,,,,
United States of America,USA,Halodule uninervis,12,1,,,,,,,,
United States of America,USA,Halodule wrightii,13,1,,,,,,,,
United States of America,USA,Halophila baillonis,15,1,,,,,,,,
United States of America,USA,Halophila decipiens,18,1,,,,,,,,
United States of America,USA,Halophila engelmannii,19,1,,,,,,,,
United States of America,USA,Halophila hawaiiana,20,1,,,,,,,,
United States of America,USA,Halophila johnsonii,21,1,,,,,,,,
United States of America,USA,Halophila minor,22,1,,,,,,,,
United States of America,USA,Halophila ovalis,23,1,,,,,,,,
United States of America,USA,Phyllospadix scouleri,30,1,,,,,,,,
United States of America,USA,Phyllospadix serrulatus,31,1,,,,,,,,
United States of America,USA,Phyllospadix torreyi,32,1,,,,,,,,
United States of America,USA,Syringodium filiforme,42,1,,,,,,,,
United States of America,USA,Syringodium isoetifolium,43,1,,,,,,,,
United States of America,USA,Thalassia hemprichii,44,1,,,,,,,,
United States of America,USA,Thalassia testudinum,45,1,,,,,,,,
United States of America,USA,Zostera asiatica,48,1,,,,,,,,
United States of America,USA,Zostera japonica,53,1,,,,,,,,
United States of America,USA,Zostera subg. Zostera marina,54,1,,,,,,,,
US Virgin Islands,VIR,Halodule wrightii,13,1,,,,,,,,
US Virgin Islands,VIR,Halophila decipiens,18,1,,,,,,,,
US Virgin Islands,VIR,Syringodium filiforme,42,1,,,,,,,,
US Virgin Islands,VIR,Thalassia testudinum,45,1,,,,,,,,
Vanuatu,VUT,Cymodocea rotundata,5,1,,,,,,,,
Vanuatu,VUT,Cymodocea serrulata,6,1,,,,,,,,
Vanuatu,VUT,Enhalus acoroides,7,1,,,,,,,,
Vanuatu,VUT,Halodule pinifolia,11,1,,,,,,,,
Vanuatu,VUT,Halodule uninervis,12,1,,,,,,,,
Vanuatu,VUT,Halophila decipiens,18,1,,,,,,,,
Vanuatu,VUT,Halophila minor,22,1,,,,,,,,
Vanuatu,VUT,Halophila ovalis,23,1,,,,,,,,
Vanuatu,VUT,Syringodium isoetifolium,43,1,,,,,,,,
Vanuatu,VUT,Thalassia hemprichii,44,1,,,,,,,,
Vanuatu,VUT,Thalassodendron ciliatum,46,1,,,,,,,,
Vanuatu,VUT,Zostera muelleri subsp. capricorni,51,1,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,Halodule wrightii,13,1,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,Halophila baillonis,15,1,, ,,,,,,
Venezuela (Bolivarian Republic of),VEN,Halophila decipiens,18,1,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,Halophila engelmannii,19,1,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,Syringodium filiforme,42,1,,,,,,,,
Venezuela (Bolivarian Republic of),VEN,Thalassia testudinum,45,1,,,,,,,,
Viet Nam,VNM,Cymodocea serrulata,6,1,,,,,,,,
Viet Nam,VNM,Enhalus acoroides,7,1,,,,,,,,
Viet Nam,VNM,Halodule pinifolia,11,1,,,,,,,,
Viet Nam,VNM,Halodule uninervis,12,1,,,,,,,,
Viet Nam,VNM,Halophila beccarii,16,1,,,,,,,,
Viet Nam,VNM,Halophila minor,22,1,,,,,,,,
Viet Nam,VNM,Halophila ovalis,23,1,,,,,,,,
Viet Nam,VNM,Syringodium isoetifolium,43,1,,,,,,,,
Viet Nam,VNM,Thalassia hemprichii,44,1,,,,,,,,
Viet Nam,VNM,Thalassodendron ciliatum,46,1,,,,,,,,
Viet Nam,VNM,Zostera japonica,53,1,,,,,,,,
Wallis and Futuna,WLF,Halodule pinifolia,11,1,,,,,,,,
Wallis and Futuna,WLF,Halophila ovalis,23,1,,,,,,,,
Wallis and Futuna,WLF,Syringodium isoetifolium,43,1,,,,, ,,,
Western Sahara,ESH,Cymodocea nodosa,4,1,,,,,,,,
Western Sahara,ESH,Halophila decipiens,18,1,,,,,,,,
Yemen,YEM,Cymodocea rotundata,5,1,,,,,,,,
Yemen,YEM,Cymodocea serrulata,6,1,,,,,,,,
Yemen,YEM,Enhalus acoroides,7,1,,,,,,,,
Yemen,YEM,Halodule uninervis,12,1,,,,,,,,
Yemen,YEM,Halophila ovalis,23,1,,,,,,,,
Yemen,YEM,Halophila stipulacea,26,1,,,,,,,,
Yemen,YEM,Syringodium isoetifolium,43,1,,,,,,,,
Yemen,YEM,Thalassia hemprichii,44,1,,,,,,,,
Yemen,YEM,Thalassodendron ciliatum,46,1,,,,,,,,
